City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Mecca,SA,73.45,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
533,Sao Filipe,CV,71.62,broken clouds,14.8961,-24.4956,Tortuga B&B
535,Yamethin,MM,63.57,clear sky,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
538,Marzuq,YE,59.92,scattered clouds,14.4,46.4667,
540,Hirara,JP,62.6,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
542,Hargeysa,SO,59.59,clear sky,9.56,44.065,City Center Hotel
549,Sayyan,YE,54.68,scattered clouds,15.1718,44.3244,متنزه و بحيرة سيان
551,Nizwa,OM,56.75,clear sky,22.9333,57.5333,Orient Apartments
553,Boa Esperanca,BR,68.47,clear sky,-21.09,-45.5658,Hotel do Lago
558,Sidi Ali,DZ,51.15,broken clouds,36.0998,0.4206,
560,Darnah,LY,50.49,broken clouds,32.766999999999996,22.6367,فندق الفردوس
565,Jaguariaiva,BR,64.92,scattered clouds,-24.2511,-49.7058,San Juan Jaguariaíva
567,Picos,BR,73.29,overcast clouds,-7.0769,-41.4669,Entre Rios Hotel
568,Adrar,MR,69.03,overcast clouds,20.5022,-10.0711,
572,Mahenge,TZ,65.98,overcast clouds,-8.6833,36.7167,Mkondosii Guest House
577,Najran,SA,60.8,clear sky,17.4924,44.1277,محمد هادي ال فطيح
580,Coihaique,CL,59.0,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
582,Necochea,AR,63.0,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
583,Dubai,AE,68.0,haze,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
584,Pakokku,MM,65.1,clear sky,21.3333,95.1,Royal Palace Motel
585,Ancud,CL,60.01,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
588,Ngong,KE,66.2,clear sky,-1.3618,36.6566,PEC House
592,Boali,CF,74.77,broken clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
594,Shaikhpura,IN,61.65,scattered clouds,25.15,85.85,Hotel Ashoka
598,Balad,IQ,69.49,overcast clouds,34.0164,44.1453,رضاوي زنوبة
612,Puerto Madryn,AR,72.61,clear sky,-42.7692,-65.0385,Hotel Tolosa
619,Comodoro Rivadavia,AR,73.4,clear sky,-45.8667,-67.5,Hotel del Mar
620,Mweka,CD,70.21,overcast clouds,-4.85,21.5667,
621,Aswan,EG,52.93,overcast clouds,24.0934,32.907,Nuba Nile
627,Dezful,IR,66.94,overcast clouds,32.3811,48.4058,سالن پیرایش امید
630,Moyobamba,PE,71.92,overcast clouds,-6.05,-76.9667,LA CASA DE MI SUEÑO - Garden Home Lodge
633,Sao Lourenco Do Sul,BR,72.0,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
640,Areosa,PT,53.01,fog,41.7178,-8.8571,Hotel Flôr de Sal
642,San Bernardo,CL,71.01,few clouds,-33.6,-70.7167,Hotel Plaza San Francisco
643,Cooma,AU,59.0,overcast clouds,-36.2333,149.1333,High Country Motel
645,Ratnagiri,IN,70.75,clear sky,16.9833,73.3,Hotel Landmark
646,Rocha,UY,65.44,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
647,Itarema,BR,74.5,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
651,Palani,IN,72.34,broken clouds,10.4667,77.5333,Vasavi Cottage
656,Tucurui,BR,74.05,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
658,Benalla,AU,73.4,overcast clouds,-36.55,145.9833,Rose City Motor Inn
659,Rondonopolis,BR,73.58,moderate rain,-16.4708,-54.6356,Serras Hotel
661,Doha,QA,66.2,clear sky,25.2867,51.5333,Doha Marriott Hotel
663,Caxias,PT,57.99,few clouds,38.7031,-9.2767,Hotel Real Oeiras
668,Elat,IL,55.4,scattered clouds,29.5581,34.9482,Club Hotel Eilat
670,Lannion,FR,50.0,broken clouds,48.75,-3.4167,Hotel Arcadia
671,Wagar,SD,74.84,clear sky,16.1525,36.2032,
672,Miraflores,MX,73.4,broken clouds,19.2167,-98.8083,Hotel Mansión
674,Plettenberg Bay,ZA,62.55,clear sky,-34.0527,23.3716,Thanda Vista B&B
677,Ikom,NG,72.84,few clouds,5.9667,8.7063,Reho Farm & Resort
