City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Pecos,US,2021-02-16 19:56:01,31.4229,-103.4932,23.0,74,90,7.2
210,Adrar,MR,2021-02-16 19:56:01,20.5022,-10.0711,74.03,20,60,12.95
211,Floro,NO,2021-02-16 19:56:02,61.5996,5.0328,39.2,75,75,21.85
212,Necochea,AR,2021-02-16 19:56:02,-38.5473,-58.7368,64.0,93,100,5.99
213,Victoria,HK,2021-02-16 19:56:00,22.2855,114.1577,68.0,76,14,8.01
214,Padang,ID,2021-02-16 19:52:36,-0.9492,100.3543,73.4,94,20,2.3
215,Zarubino,RU,2021-02-16 19:56:02,42.63,131.0922,7.66,85,100,26.87
216,Dingle,PH,2021-02-16 19:56:02,10.9995,122.6711,73.69,89,74,6.73
217,Angoche,MZ,2021-02-16 19:56:02,-16.2325,39.9086,82.24,82,54,15.12
218,Olavarria,AR,2021-02-16 19:56:03,-36.8927,-60.3225,77.0,43,28,5.01
219,Ambovombe,MG,2021-02-16 19:56:03,-25.1667,46.0833,76.98,74,80,6.33
220,Cervo,ES,2021-02-16 19:56:03,43.6702,-7.4101,53.01,77,34,1.01
221,Mokhsogollokh,RU,2021-02-16 19:56:03,61.4681,128.9203,-30.68,84,0,2.8
222,Nanortalik,GL,2021-02-16 19:56:03,60.1432,-45.2371,17.56,88,100,16.46
223,Caravelas,BR,2021-02-16 19:56:03,-17.7125,-39.2481,80.01,74,93,11.5
224,Kumluca,TR,2021-02-16 19:56:04,36.3703,30.2869,41.76,63,100,14.88
225,Bajil,YE,2021-02-16 19:56:04,15.0584,43.2851,79.54,57,62,4.32
226,Katobu,ID,2021-02-16 19:56:04,-4.9408,122.5276,75.88,91,100,1.88
227,Warrington,GB,2021-02-16 19:56:05,53.3925,-2.5802,48.2,81,20,8.05
228,Laje,BR,2021-02-16 19:56:05,-10.1833,-40.9667,73.83,83,100,4.54
229,Panalingaan,PH,2021-02-16 19:56:05,8.7842,117.4231,76.32,86,7,8.1
230,Barra Patuca,HN,2021-02-16 19:56:06,15.8,-84.2833,82.96,70,2,10.42
231,Pangnirtung,CA,2021-02-16 19:56:07,66.1451,-65.7125,-11.2,77,75,18.41
232,New Norfolk,AU,2021-02-16 19:56:07,-42.7826,147.0587,54.0,79,7,2.37
233,Hamilton,US,2021-02-16 19:53:37,39.1834,-84.5333,21.99,63,90,14.97
234,Lavrentiya,RU,2021-02-16 19:56:08,65.5833,-171.0,-18.72,84,0,10.76
235,Chamba,IN,2021-02-16 19:56:08,32.5667,76.1333,51.46,37,0,9.86
236,Khuzdar,PK,2021-02-16 19:56:08,27.7384,66.6434,54.03,32,0,1.52
237,Fort Saint James,CA,2021-02-16 19:56:08,54.4333,-124.25,23.56,95,96,3.15
238,Half Moon Bay,US,2021-02-16 19:56:09,37.4636,-122.4286,55.99,82,20,20.71
239,Bay Saint Louis,US,2021-02-16 19:56:09,30.3088,-89.33,35.6,55,1,11.5
240,Cairns,AU,2021-02-16 19:53:11,-16.9167,145.7667,75.2,94,90,8.05
241,Noumea,NC,2021-02-16 19:51:59,-22.2763,166.4572,80.01,94,0,1.14
242,Paracuru,BR,2021-02-16 19:55:32,-3.41,-39.0306,77.0,83,100,3.11
243,Hasaki,JP,2021-02-16 19:56:10,35.7333,140.8333,46.4,46,20,20.71
244,Santa Maria,BR,2021-02-16 19:56:10,-29.6842,-53.8069,82.4,54,75,8.05
245,Tilichiki,RU,2021-02-16 19:56:10,60.4667,166.1,-2.54,91,89,8.19
246,Fukue,JP,2021-02-16 19:56:10,32.6881,128.8419,41.32,74,100,31.7
247,Axim,GH,2021-02-16 19:56:11,4.8699,-2.2405,81.03,81,100,4.45
248,Tetouan,MA,2021-02-16 19:56:11,35.5711,-5.3724,57.2,88,40,4.61
249,Usinsk,RU,2021-02-16 19:56:11,65.9939,57.5281,-31.31,84,87,6.46
250,Akyab,MM,2021-02-16 19:56:12,20.15,92.9,64.67,70,0,7.9
251,Palmer,US,2021-02-16 19:52:44,42.1584,-72.3287,42.01,100,90,8.19
252,Emba,KZ,2021-02-16 19:56:13,48.8264,58.1442,11.55,88,100,11.01
253,Santa Cruz Del Norte,CU,2021-02-16 19:56:13,23.1539,-81.9236,84.2,78,40,8.05
254,Marsh Harbour,BS,2021-02-16 19:56:13,26.5412,-77.0636,78.03,77,71,17.05
255,Kutum,SD,2021-02-16 19:56:14,14.2,24.6667,63.68,26,12,24.4
256,Sursk,RU,2021-02-16 19:56:14,53.0754,45.6846,-12.17,89,0,4.05
257,Peniche,PT,2021-02-16 19:56:14,39.3558,-9.3811,59.0,86,100,5.99
258,San Patricio,US,2021-02-16 19:56:14,28.017,-97.5169,35.6,64,75,9.22
259,Najran,SA,2021-02-16 19:51:47,17.4924,44.1277,71.6,28,0,4.61
260,Uchiza,PE,2021-02-16 19:56:15,-8.4592,-76.4633,81.18,75,100,2.73
261,Vila Velha,BR,2021-02-16 19:56:15,-20.3297,-40.2925,86.0,78,20,14.97
